שם מלא,כיתה,תאריך לידה,מגמה,מחנך/ת,זכר - נקבה,שנת סיום,עיר,מה עושה היום,אימפקט הופה
שקד בן דוד,"י""ב 3",2005-04-09,עיצוב שיער,ברזילי אורית,נקבה,,צור הדסה,,
סאמר גבאי,"י""ב 2",2006-09-24,מחשבים,מרום נועה,זכר,,מעלה אדומים,,
נתנאל מלכה,"י""ב 1",2002-05-02,אוטוטרוניקה,הלוי רונן,זכר,"תשע""ט",ירושלים,,
אחמד אבו ראס,"י""ב 1",2004-02-18,עיצוב שיער,קרן יואב,זכר,"תשפ""ב",צור הדסה,מכינה,
אמל עטיה,"י""ב 3",2006-01-26,אוטוטרוניקה,,נקבה,"תשפ""ד",ירושלים,,מסתדר כרגע
רן רחמים,"י""ב 2",2003-11-11,עיצוב שיער,הלוי רונן,זכר,"תשע""ט",,חייל,
בר זועבי,"י""ב 1",2007-10-10,מחשבים,,זכר,,ירושלים,עובד,
איתי חיים,"י""ב 3",2003-09-11,מחשבים,,זכר,,ירושלים,,
סלמא נאור,"י""ב 1",2006-05-27,מחשבים,קרן יואב,נקבה,"תשע""ט",ירושלים,,
אביב טל,"י""ב 2",2000-08-05,מחשבים,אלוני גדי,זכר,,,לפני צבא,
יובל רוזן,"י""ב 2",2003-01-10,מחשבים,נחמיאס דוד,זכר,"תשפ""ג",גבע בנימין,,מסתדר כרגע
כרים שטרית,"י""ב 3",2003-01-02,,בן חיים שרית,זכר,"תשפ""א",ירושלים,,
מאהר אזולאי,"י""ב 2",2006-06-01,אוטוטרוניקה,שגב מיכל,,,ירושלים,,
שחר סעדה,"י""ב 1",2000-08-11,אוטוטרוניקה,קרן יואב,זכר,"תשע""ט",ירושלים,,
רן עמר,"י""ב 3",2004-06-03,עיצוב שיער,מרום נועה,זכר,"תש""ף",ירושלים,,
הראל מלכה,"י""ב 2",2001-04-24,אוטוטרוניקה,נחמיאס דוד,זכר,"תשפ""ב",בר גיורא,עובד,
ניצן בן שימול,"י""ב 3",2000-02-19,מחשבים,אמסלם ציפי,נקבה,"תשפ""ב",אודם,עובד,
מתן אלבז,"י""ב 1",2000-04-18,מחשבים,בן חיים שרית,זכר,"תשפ""א",ירושלים,,מסתדר כרגע
הדס תורגמן,"י""ב 1",2003-09-06,אוטוטרוניקה,מרום נועה,נקבה,"תשפ""ב",צור הדסה,,מסתדר כרגע
מוחמד עמר,"י""ב 1",2002-04-14,מחשבים,שביט איתן,,"תשפ""א",,עובד,מסתדר כרגע
רן כרמלי,"י""ב 3",2007-03-05,אוטוטרוניקה,שגב מיכל,זכר,"תש""ף",ירושלים,,
יוסף נגר,"י""ב 2",2003-04-30,מחשבים,בן חיים שרית,זכר,"תש""ף",ירושלים,,מלגה
מאהר נסראללה,"י""ב 2",2007-12-03,אוטוטרוניקה,שגב מיכל,זכר,"תשפ""ג",אפרתה,,מסתדר כרגע
עמית לוי,"י""ב 3",2007-01-24,אוטוטרוניקה,,זכר,"תשפ""ב",,,
נתנאל רחמים,"י""ב 3",2007-10-23,עיצוב שיער,הלוי רונן,זכר,,ירושלים,,
כרים נחום,"י""ב 2",2000-09-13,מחשבים,בן חיים שרית,זכר,,ירושלים,,בגרויות
דניאל צדוק,"י""ב 2",2001-12-23,מחשבים,קרן יואב,זכר,"תשע""ט",בית שמש,,
הילה כהן,"י""ב 3",2000-09-19,מחשבים,אמסלם ציפי,נקבה,,ירושלים,,
תמר סבג,"י""ב 2",2003-07-23,תחזוקת מחשבים אישיים ורשתות תקשורת,אמסלם ציפי,נקבה,"תשפ""ה",צור הדסה,עובד,
אחמד עטיה,"י""ב 1",2005-07-05,אוטוטרוניקה,הלוי רונן,זכר,"תשע""ט",,,
אביב חיים,"י""ב 3",2001-12-14,עיצוב שיער,,זכר,"תשפ""ג",ירושלים,,
ריהאם לוי,"י""ב 1",2000-11-05,אוטוטרוניקה,נחמיאס דוד,נקבה,"תשפ""ה",בית שמש,,
ליאור מלכה,"י""ב 1",2000-05-10,אוטוטרוניקה,קרן יואב,נקבה,"תש""ף",,,מסתדר כרגע
אורי סויסה,"י""ב 3",2004-09-30,מחשבים,מרום נועה,,"תשפ""א",ירושלים,עובד,מלגה
רותם מוסקוביץ,"י""ב 2",2002-09-30,תחזוקת מחשבים אישיים ורשתות תקשורת,מרום נועה,,"תשפ""ג",אודם,,מסתדר כרגע
כרים קדוש,"י""ב 2",2003-07-06,אוטוטרוניקה,,זכר,"תשפ""ד",ירושלים,,
חסן נסראללה,"י""ב 3",2000-08-11,,ברזילי אורית,זכר,,ירושלים,,
רועי פלד,"י""ב 3",2003-04-12,עיצוב שיער,שביט איתן,זכר,"תשפ""ה",ירושלים,,מסתדר כרגע
עומר כרמלי,"י""ב 1",2000-04-06,מחשבים,ברזילי אורית,זכר,"תשפ""ב",ירושלים,,
יהונתן פלד,"י""ב 1",2001-12-27,אוטוטרוניקה,שביט איתן,זכר,"תש""ף",ירושלים,,
אורי זכריה,"י""ב 1",2001-04-05,תחזוקת מחשבים אישיים ורשתות תקשורת,אלוני גדי,,"תשפ""ב",צור הדסה,,
ניצן שטרית,"י""ב 3",2007-02-11,מחשבים,נחמיאס דוד,נקבה,"תשפ""א",ירושלים,עובד,
יונתן רחמים,"י""ב 3",2003-03-05,מחשבים,שגב מיכל,,"תשפ""א",ירושלים,חייל,מסתדר כרגע
תומר סעדה,"י""ב 1",2002-03-31,עיצוב שיער,בן חיים שרית,זכר,"תשפ""ב",בית שמש,,מסתדר כרגע
שי מזרחי,"י""ב 1",2003-12-15,מחשבים,בן חיים שרית,זכר,"תשפ""ה",ירושלים,,
אלעד כהן,"י""ב 3",2007-06-26,אוטוטרוניקה,מרום נועה,,"תשפ""ב",ירושלים,,
עמית דראושה,"י""ב 3",2006-12-18,,קרן יואב,זכר,"תשע""ט",ירושלים,,
ליאור חדד,"י""ב 1",2000-12-22,עיצוב שיער,שגב מיכל,,"תש""ף",אפרתה,עובד,מלגה
ליאור רחמים,"י""ב 1",2006-06-17,מחשבים,שגב מיכל,זכר,"תש""ף",בית שמש,עובד,
אלה לביא,"י""ב 3",2000-06-13,עיצוב שיער,הלוי רונן,נקבה,"תשפ""ב",ירושלים,,
אסף דראושה,"י""ב 3",2002-09-27,מחשבים,קרן יואב,זכר,"תשפ""ג",ירושלים,,
שירה רחמים,"י""ב 2",2000-02-26,עיצוב שיער,מרום נועה,,"תש""ף",ירושלים,,
עדי אזולאי,"י""ב 3",2005-06-07,אוטוטרוניקה,אמסלם ציפי,,"תשפ""ד",ירושלים,,
יהונתן פרץ,"י""ב 3",2006-05-10,עיצוב שיער,נחמיאס דוד,,"תשפ""ג",ירושלים,עובד,
אור סויסה,"י""ב 3",2004-09-04,אוטוטרוניקה,אמסלם ציפי,נקבה,"תש""ף",צור הדסה,עובד,מסתדר כרגע
מוחמד טויטו,"י""ב 3",2003-09-23,אוטוטרוניקה,שביט איתן,זכר,"תשפ""א",ירושלים,,
אסף זועבי,"י""ב 3",2002-06-23,מחשבים,בן חיים שרית,,"תשפ""ב",ירושלים,,מלגה
סאמר נגר,"י""ב 1",2003-04-06,אוטוטרוניקה,מרום נועה,זכר,"תשפ""ה",ירושלים,בעל עסק,
אביב פלד,"י""ב 1",2001-12-13,מחשבים,הלוי רונן,זכר,"תשפ""א",בית שמש,עובד,
שי פרץ,"י""ב 3",2002-07-01,עיצוב שיער,ברזילי אורית,זכר,"תשפ""ד",צור הדסה,,
אלעד אלבז,"י""ב 1",2004-10-15,אוטוטרוניקה,קרן יואב,זכר,"תשפ""א",גבע בנימין,עובד,מסתדר כרגע
נדב סלומון,"י""ב 1",2005-02-28,עיצוב שיער,אמסלם ציפי,זכר,,בית שמש,,
רותם קדוש,"י""ב 1",2007-12-25,עיצוב שיער,מרום נועה,נקבה,"תשפ""ד",ירושלים,,מסתדר כרגע
אחמד לביא,"י""ב 1",2000-05-21,עיצוב שיער,,זכר,"תשפ""ג",אודם                           90632,,מלגה
עדי חיים,"י""ב 3",2001-08-19,מחשבים,מרום נועה,נקבה,"תשפ""א",בית שמש,,
עמית סרסור,"י""ב 3",2007-10-16,אוטוטרוניקה,הלוי רונן,,,בית שמש,,
שי נאור,"י""ב 3",2001-11-05,עיצוב שיער,הלוי רונן,,"תשפ""ד",גבע בנימין,,עזרה כלכלית
מאיה סרסור,"י""ב 2",2002-12-02,מחשבים,ברזילי אורית,נקבה,"תשפ""א",קרית ארבע,,תעסוקה
ספיר אברהם,"י""ב 3",2006-03-01,מחשבים,הלוי רונן,נקבה,"תשפ""ה",בית שמש,עובד,
שחר עואד,"י""ב 1",2004-06-12,,שגב מיכל,זכר,"תשפ""א",בית שמש,,מסתדר כרגע
מוחמד פרידמן,"י""ב 2",2002-02-21,,נחמיאס דוד,זכר,"תשפ""ד",ירושלים,,
עמית קדוש,"י""ב 3",2007-02-20,אוטוטרוניקה,אלוני גדי,זכר,"תשפ""ב",מבשרת ציון,,
שירה מלכה,"י""ב 1",2005-09-11,אוטוטרוניקה,הלוי רונן,נקבה,"תשפ""ד",ירושלים,,
אמל וקנין,"י""ב 2",2005-05-18,אוטוטרוניקה,שביט איתן,נקבה,"תשפ""ב",בר גיורא,עובד,
בר תורגמן,"י""ב 3",2007-06-01,,בן חיים שרית,זכר,"תשפ""א",ירושלים,,
יובל נסראללה,"י""ב 1",2006-03-05,עיצוב שיער,אלוני גדי,זכר,,ירושלים,,מסתדר כרגע
אלון אלבז,"י""ב 3",2001-12-19,אוטוטרוניקה,שגב מיכל,זכר,"תשפ""ב",ירושלים,,תעסוקה
תומר אוחיון,"י""ב 1",2002-12-10,מחשבים,אלוני גדי,זכר,"תשע""ט",ירושלים,,מלגה
עמית עוזרי,"י""ב 2",2004-12-17,אוטוטרוניקה,בן חיים שרית,זכר,"תשפ""ב",ירושלים,,
איתי ברק,"י""ב 2",2004-01-26,מחשבים,ברזילי אורית,,"תשפ""ג",אפרתה,,
בר כהן,"י""ב 3",2006-07-27,אוטוטרוניקה,אלוני גדי,זכר,"תשפ""א",ירושלים,,
נדב יפרח,"י""ב 2",2004-09-04,אוטוטרוניקה,קרן יואב,זכר,"תשפ""ד",ירושלים,,מסתדר כרגע
יונתן טויטו,"י""ב 3",2000-01-16,אוטוטרוניקה,ברזילי אורית,זכר,,ירושלים,עובד,
סאמר בן שימול,"י""ב 3",2006-06-13,אוטוטרוניקה,קרן יואב,זכר,"תשפ""ד",מטע,,מסתדר כרגע
שחר חיים,"י""ב 3",2007-08-26,מחשבים,אמסלם ציפי,זכר,"תשפ""ה",תרום,,
עומר מזרחי,"י""ב 1",2004-07-12,עיצוב שיער,מרום נועה,זכר,"תשפ""ב",ירושלים,,מסתדר כרגע
אלעד קלימי,"י""ב 2",2002-10-10,עיצוב שיער,,זכר,"תשע""ט",ירושלים,,
אלעד ביטון,"י""ב 2",2000-02-29,עיצוב שיער,אמסלם ציפי,זכר,"תשע""ט",בית שמש,,
עומר זכריה,"י""ב 2",2005-06-26,עיצוב שיער,אלוני גדי,זכר,"תשפ""ה",ירושלים,,
אורי אגבאריה,"י""ב 3",2003-11-01,מחשבים,בן חיים שרית,זכר,"תשע""ט",ירושלים,,
אלון רחמים,"י""ב 1",2007-11-15,מלונאות,הלוי רונן,זכר,"תשפ""ג",בני ברק,עובד,
מתן מוסקוביץ,"י""ב 1",2006-03-16,עיצוב שיער,נחמיאס דוד,זכר,,ירושלים,,
נדב טהא,"י""ב 1",2004-05-01,אוטוטרוניקה,בן חיים שרית,זכר,"תשפ""ה",אודם                           90632,,
אביגיל רוזן,"י""ב 3",2000-11-10,מחשבים,הלוי רונן,נקבה,"תשפ""ב",ירושלים,,
איתי מלכה,"י""ב 3",2002-04-03,מחשבים,אלוני גדי,זכר,"תש""ף",ירושלים,עובד,מלגה
יעל מנסור,"י""ב 3",2003-05-01,מחשבים,קרן יואב,נקבה,"תשפ""ה",בית שמש,,
אלה סעדה,"י""ב 2",2002-01-24,עיצוב שיער,הלוי רונן,נקבה,"תשפ""ב",,,עזרה כלכלית
אריאל כהן,"י""ב 2",2005-03-07,אוטוטרוניקה,אמסלם ציפי,זכר,"תשפ""א",,,
עלי נגר,"י""ב 3",2006-01-08,עיצוב שיער,שביט איתן,זכר,"תשפ""ג",ירושלים,עובד,
יהונתן סלים,"י""ב 1",2005-02-26,עיצוב שיער,הלוי רונן,זכר,"תשפ""ב",ירושלים,,
דניאל כהן,"י""ב 1",2006-05-21,עיצוב שיער,בן חיים שרית,זכר,"תשפ""ד",צור הדסה,,מלגה
יובל יפרח,"י""ב 1",2002-08-20,אוטוטרוניקה,אמסלם ציפי,,"תשפ""ה",ירושלים,,מלגה
אורי פרידמן,"י""ב 3",2003-09-16,מחשבים,שביט איתן,,"תשע""ט",גבע בנימין,,מלגה
עדי דוד,"י""ב 3",2003-10-19,מחשבים,בן חיים שרית,נקבה,,ירושלים,חייל,מסתדר כרגע
גיא גבאי,"י""ב 2",2002-09-27,אוטוטרוניקה,אלוני גדי,זכר,,ירושלים,,
יעל סלים,"י""ב 3",2001-11-13,מחשבים,,נקבה,"תשפ""א",ירושלים,,
יוסף תורגמן,"י""ב 2",2002-12-23,עיצוב שיער,שביט איתן,זכר,,ירושלים,,מלגה
בר חטיב,"י""ב 3",2005-04-15,מחשבים,הלוי רונן,זכר,"תשפ""ב",ירושלים,,מסתדר כרגע
גיא סלומון,"י""ב 3",2005-12-10,מחשבים,נחמיאס דוד,זכר,"תשפ""ב",ירושלים,עובד,
נועם אברהם,"י""ב 3",2003-07-03,עיצוב שיער,,זכר,"תשפ""ג",ירושלים,,
אביב רוזן,"י""ב 1",2006-07-07,מחשבים,שגב מיכל,,"תשפ""א",,חייל,מסתדר כרגע
איתי אלבז,"י""ב 2",2001-02-08,מלונאות,שביט איתן,זכר,"תשפ""ג",ירושלים,,
אביב כרמלי,"י""ב 2",2004-04-13,עיצוב שיער,שגב מיכל,זכר,"תשפ""ד",גבע בנימין,חייל,
דועא ביטון,"י""ב 3",2000-11-22,אוטוטרוניקה,קרן יואב,נקבה,"תש""ף",מבשרת ציון,לפני צבא,
שירה אלבז,"י""ב 2",2007-04-15,אוטוטרוניקה,ברזילי אורית,נקבה,"תשע""ט",תקוע 90908,,
נדב חיים,"י""ב 2",2002-07-25,מחשבים,שגב מיכל,זכר,"תשפ""ה",ירושלים,,תעסוקה
רועי אגבאריה,"י""ב 1",2004-07-27,מחשבים,נחמיאס דוד,זכר,"תש""ף",ירושלים,,
רן צדוק,"י""ב 2",2005-04-17,עיצוב שיער,קרן יואב,זכר,"תשע""ט",ירושלים,,
בר לוי,"י""ב 1",2001-07-07,מחשבים,קרן יואב,זכר,"תשפ""א",ירושלים,,
ספיר טל,"י""ב 3",2006-08-03,,,נקבה,"תשפ""ב",,עובד,מלגה
יוסף פרץ,"י""ב 2",2002-05-04,מחשבים,אמסלם ציפי,,"תשפ""ד",ירושלים,חייל,
נועם שטרית,"י""ב 2",2002-06-25,עיצוב שיער,שביט איתן,זכר,"תש""ף",מעלה אדומים,עובד,
אלעד נאור,"י""ב 3",2006-01-10,,בן חיים שרית,,"תשע""ט",ירושלים,לימודים,מסתדר כרגע
אלון דהן,"י""ב 1",2000-04-15,אוטוטרוניקה,בן חיים שרית,זכר,"תשפ""ה",ירושלים,,
נתנאל פרץ,"י""ב 1",2007-09-01,,שביט איתן,זכר,"תשע""ט",,,
אלון דוד,"י""ב 3",2000-06-12,עיצוב שיער,נחמיאס דוד,,"תשפ""ב",בית שמש,,מסתדר כרגע
ליאור פרידמן,"י""ב 2",2000-02-21,מחשבים,קרן יואב,,"תשפ""ג",,,מסתדר כרגע
כרים עמר,"י""ב 2",2001-02-11,אוטוטרוניקה,אמסלם ציפי,זכר,"תשפ""ב",ירושלים,,
שחר טהא,"י""ב 3",2007-01-19,עיצוב שיער,ברזילי אורית,זכר,"תשפ""ד",ירושלים,,מסתדר כרגע
מתן סבג,"י""ב 1",2001-02-23,מחשבים,,זכר,"תשפ""ה",בית שמש,עובד,תעסוקה
גיא מנסור,"י""ב 1",2007-04-04,עיצוב שיער,ברזילי אורית,זכר,"תשפ""ב",גבע בנימין,עובד,
יוסף דהן,"י""ב 3",2003-05-04,עיצוב שיער,שגב מיכל,זכר,"תשפ""א",ירושלים,,עזרה כלכלית
אריאל פרידמן,"י""ב 1",2000-04-22,עיצוב שיער,,זכר,"תשפ""א",ירושלים,,
איתי סויסה,"י""ב 3",2005-06-09,מערכות חשמל ואלקטרוניקה ברכב,שגב מיכל,זכר,"תש""ף",,,
יוסף דוד,"י""ב 2",2000-07-21,מחשבים,נחמיאס דוד,זכר,"תשפ""ה",ירושלים,,
דניאל רוזן,"י""ב 2",2005-10-21,עיצוב שיער,שגב מיכל,זכר,"תשפ""ה",בית שמש,,
יהונתן אברהם,"י""ב 2",2004-11-15,עיצוב שיער,שביט איתן,זכר,"תשפ""ד",,עובד,מסתדר כרגע
רן לביא,"י""ב 1",2003-07-02,אוטוטרוניקה,בן חיים שרית,,"תשפ""ה",שורש,חייל,
ליאור עמר,"י""ב 3",2003-01-03,אוטוטרוניקה,מרום נועה,זכר,,ירושלים,,מסתדר כרגע
יוסף חוראני,"י""ב 1",2002-05-07,עיצוב שיער,,זכר,"תשפ""ד",,חייל,
אורי סלומון,"י""ב 1",2005-04-06,תחזוקת מחשבים אישיים ורשתות תקשורת,,זכר,,ירושלים,,
שי פרידמן,"י""ב 3",2001-11-03,אוטוטרוניקה,ברזילי אורית,זכר,"תש""ף",ירושלים,,מסתדר כרגע
יהונתן בן שימול,"י""ב 3",2005-07-17,מחשבים,קרן יואב,זכר,"תשפ""ב",אפרתה,,מסתדר כרגע
חסן דראושה,"י""ב 2",2002-02-10,אוטוטרוניקה,אלוני גדי,זכר,"תשע""ט",ירושלים,,מלגה
חסן סלים,"י""ב 3",2003-08-01,אוטוטרוניקה,אמסלם ציפי,זכר,"תשפ""ה",ירושלים,,
נתנאל חיים,"י""ב 2",2000-12-07,אוטוטרוניקה,אמסלם ציפי,,"תשפ""ב",גבע בנימין,,עזרה כלכלית
עלי סלומון,"י""ב 2",2007-07-31,אוטוטרוניקה,שביט איתן,זכר,"תשע""ט",,,
עומר כהן,"י""ב 3",2001-02-05,אוטוטרוניקה,מרום נועה,,"תשפ""ג",ירושלים,,
נדב קלימי,"י""ב 3",2001-06-19,מחשבים,מרום נועה,זכר,"תשפ""א",ירושלים,,
רן לוי,"י""ב 3",2001-09-04,,שגב מיכל,זכר,,,,
חסן אזולאי,"י""ב 1",2001-05-10,מחשבים,נחמיאס דוד,זכר,"תשפ""ד",ירושלים,,
אור אלבז,"י""ב 2",2004-01-23,מחשבים,הלוי רונן,נקבה,"תשפ""ה",ירושלים,חייל,עזרה כלכלית
עמית רחמים,"י""ב 3",2005-02-05,אוטוטרוניקה,הלוי רונן,זכר,,ירושלים,חייל,
שי אוחיון,"י""ב 3",2004-02-14,עיצוב שיער,בן חיים שרית,זכר,"תשפ""ב",ירושלים,,מסתדר כרגע
עמית פרידמן,"י""ב 3",2003-12-05,מחשבים,הלוי רונן,זכר,"תשע""ט",נוקדים,,
מאהר סרסור,"י""ב 2",2001-01-15,עיצוב שיער,נחמיאס דוד,,"תשפ""ה",,עובד,
נטע אלבז,"י""ב 1",2006-12-11,אוטוטרוניקה,שביט איתן,נקבה,,מעלה אדומים,מכינה,מלגה
ליאור גבאי,"י""ב 2",2000-07-08,אוטוטרוניקה,אמסלם ציפי,זכר,"תשפ""ג",,,
רוני בן דוד,"י""ב 1",2006-09-09,,נחמיאס דוד,נקבה,"תשפ""א",ירושלים,,
עומר טהא,"י""ב 2",2007-06-27,עיצוב שיער,הלוי רונן,זכר,"תשפ""ב",ירושלים,,
דניאל טהא,"י""ב 2",2002-03-19,עיצוב שיער,הלוי רונן,זכר,"תשפ""ג",,,מלגה
מרים עמר,"י""ב 3",2007-09-08,מלונאות,נחמיאס דוד,נקבה,"תשפ""ה",ירושלים,,
עדי קלימי,"י""ב 3",2001-03-10,אוטוטרוניקה,,נקבה,"תש""ף",ירושלים,עובד,
אחמד גבאי,"י""ב 3",2000-01-16,תחזוקת מחשבים אישיים ורשתות תקשורת,ברזילי אורית,זכר,"תש""ף",גבע בנימין,,
טל סויסה,"י""ב 3",2005-07-13,אוטוטרוניקה,קרן יואב,נקבה,"תשפ""ב",ירושלים,,
לינוי חיים,"י""ב 3",2007-04-26,עיצוב שיער,אלוני גדי,,"תשפ""ב",קרית ארבע,עובד,
אלון סויסה,"י""ב 2",2005-01-20,מחשבים,בן חיים שרית,זכר,"תשפ""ד",רמלה,,מסתדר כרגע
בר צדוק,"י""ב 3",2006-02-24,תחזוקת מחשבים אישיים ורשתות תקשורת,בן חיים שרית,,,גבע בנימין,,
יובל עבד אלחק,"י""ב 1",2001-07-10,עיצוב שיער,שגב מיכל,זכר,,,,
ליאור אוחיון,"י""ב 1",2006-01-17,מחשבים,הלוי רונן,זכר,"תשפ""א",צור הדסה,חייל,
רועי מלכה,"י""ב 1",2006-12-20,אוטוטרוניקה,אלוני גדי,זכר,"תשע""ט",ירושלים,,
מאהר כרמלי,"י""ב 1",2005-02-18,מחשבים,שגב מיכל,זכר,"תשפ""ג",ירושלים,,
יוסף אשכנזי,"י""ב 3",2006-09-15,אוטוטרוניקה,נחמיאס דוד,זכר,"תשפ""ד",,,
אסף מזרחי,"י""ב 2",2006-04-08,אוטוטרוניקה,ברזילי אורית,,"תשפ""ד",ירושלים,,מסתדר כרגע
אלון ביטון,"י""ב 3",2004-04-12,עיצוב שיער,מרום נועה,זכר,"תשפ""ד",,,
גיא אבו ראס,"י""ב 1",2001-06-11,עיצוב שיער,שגב מיכל,זכר,"תשע""ט",בית שמש,עובד,עזרה כלכלית
אלון ברששת,"י""ב 3",2000-05-02,אוטוטרוניקה,הלוי רונן,זכר,"תש""ף",ירושלים,עובד,
טל סבג,"י""ב 3",2000-08-17,עיצוב שיער,נחמיאס דוד,,"תשע""ט",,חייל,מסתדר כרגע
מאהר דהן,"י""ב 3",2002-02-06,מחשבים,אלוני גדי,זכר,,,,
אביב דוד,"י""ב 1",2005-02-18,עיצוב שיער,נחמיאס דוד,זכר,"תש""ף",ירושלים,,תעסוקה
אחמד בן שימול,"י""ב 1",2006-01-10,אוטוטרוניקה,,זכר,"תשפ""א",ירושלים,,מסתדר כרגע
יוסף מנסור,"י""ב 2",2001-06-30,עיצוב שיער,,זכר,"תשפ""ג",,מכינה,
שחר אלבז,"י""ב 2",2006-09-14,מחשבים,שביט איתן,זכר,,בית שמש,,מסתדר כרגע
יהונתן דוד,"י""ב 3",2007-12-23,אוטוטרוניקה,נחמיאס דוד,זכר,"תשפ""ד",גבע בנימין,,
ריהאם חדד,"י""ב 2",2005-03-01,מחשבים,בן חיים שרית,נקבה,"תשפ""ה",נוקדים,,מלגה
אורי פלד,"י""ב 3",2006-09-27,עיצוב שיער,אלוני גדי,זכר,"תשע""ט",ירושלים,,
אלון אשכנזי,"י""ב 1",2004-04-05,עיצוב שיער,אלוני גדי,זכר,"תשפ""א",ירושלים,,
מתן חטיב,"י""ב 2",2004-12-01,,מרום נועה,זכר,"תשפ""ד",ירושלים,,
