שם מלא,בית ספר,זכר - נקבה,שנת סיום,תאריך לידה,עיר,מגמה,תאריך גיוס,תאריך שחרור
אביב דראושה,עכו מרום,זכר,"תש""ף",2005-07-16,ירושלים,מערכות הספק פיקוד ובקרה,,
אור מנסור,ירושלים בית הערבה,נקבה,"תשפ""ג",2006-02-19,צור הדסה,מערכות הספק פיקוד ובקרה,,
תומר וקנין,אורט אדיבי אשקלון,זכר,"תשע""ט",2005-02-26,מודיעין,אוטוטרוניקה,,
נועה אגבאריה,ירושלים בית הערבה,נקבה,"תשפ""ג",2005-08-09,קרית יערים,תחזוקת מערכות מכניות,,
חסן טויטו,אורט אדיבי אשקלון,זכר,"תשפ""ב",2005-12-05,,תקשוב,,
עלי מנסור,ירושלים בית הערבה,זכר,"תשפ""א",2006-12-07,,יישומי עיצוב שיער וטיפוח החן,,
אסף מנסור,עכו מרום,זכר,"תשפ""א",2004-05-15,מעלה אדומים,,,
נועם עואד,ירושלים בית הערבה,זכר,"תשפ""ב",2007-05-26,אבן ספיר,,,
נור דוד,צור ברק,נקבה,"תשע""ט",2002-02-11,ירושלים,עיצוב שיער,,
אחמד טהא,עכו מרום,זכר,"תשפ""ד",2006-03-24,,בישול מלונאי,,
כרים מנסור,ירושלים בית הערבה,זכר,"תשפ""ה",2006-04-04,צור הדסה,תחזוקת מערכות מכניות,,
מוחמד עטיה,אורט אדיבי אשקלון,זכר,"תשפ""ה",2004-05-14,קרית יערים,תחזוקת מערכות מכניות,,
מאהר אשכנזי,מוצקין,זכר,"תשפ""א",2000-02-27,גבעת זאב,עיצוב,,
דניאל עמר,עכו מרום,זכר,"תשפ""ב",2007-01-22,אבן ספיר,,2019-01-08,
אלעד אגבאריה,עכו מרום,זכר,"תשפ""א",2000-08-21,מבשרת ציון,עיצוב שיער,,
עלי אלמוג,עכו מרום,זכר,"תש""ף",2005-12-05,בית שמש,תקשוב(חנמ),,
מרים עמר,אורט אדיבי אשקלון,נקבה,"תשע""ח",2005-08-07,אפרת,תחזוקת מערכות מכניות,,
חסן ביטון,ירושלים בית הערבה,זכר,"תשפ""ד",2002-03-11,מעלה אדומים,אוטוטרוניקה,,
יוסף אבו ראס,אורט אדיבי אשקלון,זכר,"תשע""ח",2006-08-11,,מחשבים,,
אריאל טל,ירושלים בית הערבה,זכר,"תשפ""א",2000-02-14,אפרת,אוטוטרוניקה,2025-03-12,
אחמד חדד,אורט אדיבי אשקלון,זכר,"תשפ""ב",2002-05-16,אפרת,אוטוטרוניקה,,
שי פרץ,אורט אדיבי אשקלון,זכר,"תשפ""ב",2006-09-26,ירושלים,,,
דניאל יפרח,עכו מרום,זכר,"תש""ף",2003-04-21,מבשרת ציון,עיצוב שיער,,
ליאור סלים,אורט אדיבי אשקלון,זכר,"תשפ""ב",2000-07-16,הר אדר,תקשוב(חנמ),,
מתן טל,ירושלים בית הערבה,זכר,"תשפ""ג",2003-02-04,מבשרת ציון,תחזוקת מערכות מכניות(חנמ),,
נתנאל טויטו,ירושלים בית הערבה,זכר,"תשפ""ד",2007-11-08,מודיעין,תקשוב,,
עלי קדוש,אורט אדיבי אשקלון,זכר,"תשפ""ג",2000-09-05,מודיעין,עיצוב(חנמ),2025-01-25,
רותם פלד,עכו מרום,נקבה,"תשפ""ד",2005-07-25,גבעת זאב,התמחות יישומי אוטו-טק,,
סלמא בן שימול,עכו מרום,נקבה,"תשפ""ה",2005-02-17,ירושלים,אוטוטרוניקה,,
עמית אזולאי,ירושלים בית הערבה,זכר,"תשפ""ה",2001-09-19,מודיעין,בישול מלונאי,,
חסן לוי,אורט אדיבי אשקלון,זכר,"תשפ""ב",2005-03-07,מבשרת ציון,טכנולוגיות עץ ורהיטים,,
אדם אבו ראס,ירושלים בית הערבה,זכר,"תשפ""ה",2003-02-23,ירושלים,,2025-10-01,
כרים מוסקוביץ,אורט אדיבי אשקלון,זכר,"תשפ""ב",2005-08-19,ירושלים,בישול מלונאי,,
תומר שטרית,בית שאן,זכר,"תשפ""ד",2002-08-22,גבע בנימין,עיצוב שיער,,
יהונתן טויטו,אורט אדיבי אשקלון,זכר,"תשפ""ב",2001-08-31,בית שמש,,,
מרים אבו ראס,עכו מרום,נקבה,"תשפ""ה",2002-06-18,ירושלים,תקשוב,,
דניאל אזולאי,ירושלים בית הערבה,זכר,"תשפ""ג",2003-06-14,צור הדסה,צירוף מקצועות,,
יהונתן קלימי,עכו מרום,זכר,"תשפ""ד",2005-06-25,הר אדר,מחשבים,,
הראל פרידמן,עכו מרום,זכר,"תשפ""ג",2002-12-25,אפרת,תקשוב,2019-05-02,
ליאור נסראללה,עכו מרום,נקבה,"תשפ""ד",2002-05-15,ירושלים,אוטוטרוניקה,,
חסן סרסור,ירושלים בית הערבה,זכר,"תשפ""ג",2007-08-10,מעלה אדומים,,,
שחר עמר,עכו מרום,זכר,"תשפ""ב",2005-06-30,גבע בנימין,מסגרות מבנים,,
ריהאם נגר,עכו מרום,נקבה,"תשפ""א",2000-12-19,אפרת,עיצוב,2025-03-10,
נועם ביטון,בית שאן,זכר,"תשפ""א",2005-02-04,אבן ספיר,תקשוב,2020-05-19,
אחמד חטיב,עכו מרום,זכר,"תשפ""ד",2006-05-25,ירושלים,יישומי עיצוב שיער וטיפוח החן,,
נועם מזרחי,ירושלים בית הערבה,זכר,"תשפ""ה",2002-02-08,,התמחות יישומי אוטו-טק,,
אביב לוי,עכו מרום,זכר,"תשפ""ד",2000-04-02,בית שמש,,,
רן טל,צור ברק,זכר,"תשפ""ב",2004-06-11,מודיעין,מחשבים,,
נדב נסראללה,ירושלים בית הערבה,זכר,"תשפ""ה",2004-10-26,מבשרת ציון,אוטוטרוניקה,,
עמית טהא,עכו מרום,זכר,"תשפ""ג",2004-03-12,אפרת,אוטוטרוניקה,,
אלעד ברששת,ירושלים בית הערבה,זכר,"תשפ""ב",2003-11-09,אפרת,טכנולוגיות עץ ורהיטים,,
אלון אלמוג,ירושלים בית הערבה,זכר,"תשפ""ג",2005-07-16,בית שמש,יישומי עיצוב שיער וטיפוח החן,,
תומר אברהם,בית שאן,זכר,"תשפ""ב",2002-04-24,מבשרת ציון,מחשבים,,
יוסף לביא,ירושלים בית הערבה,זכר,"תשפ""ד",2004-03-08,,התמחות יישומי אוטו-טק,,
דועא חדד,אורט אדיבי אשקלון,נקבה,"תש""ף",2002-07-19,,התמחות יישומי אוטו-טק,,
ספיר כהן,עכו מרום,נקבה,"תשפ""ב",2006-01-21,קרית יערים,תחזוקת מערכות מכניות,,
אדם בן שימול,מוצקין,זכר,"תשפ""ד",2002-02-09,קרית יערים,,,
נועה אשכנזי,ירושלים בית הערבה,נקבה,"תשפ""ג",2001-01-22,מבשרת ציון,מערכות תיכון וייצר באמצעות מחשב,,
נדב גבאי,בית שאן,זכר,"תשע""ט",2004-11-30,,התמחות יישומי אוטו-טק,,
עמית סעדה,צור ברק,זכר,"תשפ""ג",2007-07-06,אבן ספיר,תקשוב(חנמ),,
בר טויטו,עכו מרום,זכר,"תשפ""ד",2001-11-26,אפרת,עיצוב שיער,,
אדם עבד אלחק,מוצקין,זכר,"תשפ""א",2002-02-09,צור הדסה,,,
מתן עואד,צור ברק,זכר,"תשפ""ב",2001-07-03,מבשרת ציון,,,
גיא שטרית,עכו מרום,זכר,"תשפ""ה",2004-09-16,אפרת,מחשבים,2021-07-12,
רן אלמוג,ירושלים בית הערבה,זכר,"תש""ף",2004-07-11,ירושלים,תקשוב,2024-04-23,
תומר עטיה,עכו מרום,זכר,"תשפ""ד",2007-11-22,בית שמש,תקשוב(חנמ),,
עידו ברששת,ירושלים בית הערבה,זכר,"תשע""ט",2006-09-13,ירושלים,תקשוב,,
יובל דראושה,ירושלים בית הערבה,נקבה,"תשע""ט",2006-12-13,קרית יערים,מחשבים,,
עומר טל,עכו מרום,זכר,"תשפ""ג",2005-05-01,מעלה אדומים,עיצוב(חנמ),,
ליאור בן שימול,מוצקין,זכר,"תשפ""ג",2005-07-18,,,,
שקד דהן,אורט אדיבי אשקלון,נקבה,"תשפ""ד",2003-03-17,ירושלים,מלונאות,,
יובל סלומון,עכו מרום,זכר,"תשע""ט",2005-12-07,גבע בנימין,מחשבים,,
נועם דהן,אורט אדיבי אשקלון,זכר,"תשפ""א",2002-03-05,מעלה אדומים,תחזוקת מערכות מכניות(חנמ),,
הדס פלד,אורט אדיבי אשקלון,נקבה,"תשפ""ה",2007-08-12,קרית יערים,התמחות יישומי אוטו-טק,,
עלי סרסור,עכו מרום,זכר,"תשע""ט",2001-03-18,הר אדר,יישומי עיצוב שיער וטיפוח החן,,
סאמר יפרח,מוצקין,זכר,"תשפ""ה",2000-11-20,,אוטוטרוניקה,,
איתי סרסור,ירושלים בית הערבה,זכר,"תשפ""ג",2003-11-09,בית שמש,תקשוב,,
אחמד פלד,ירושלים בית הערבה,זכר,"תשע""ח",2007-04-14,אבן ספיר,עיצוב,,
רועי דהן,אורט אדיבי אשקלון,זכר,"תשפ""ב",2004-01-26,מעלה אדומים,יישומי עיצוב שיער וטיפוח החן,,
אביגיל דוד,עכו מרום,נקבה,"תשפ""ה",2006-10-14,,התמחות יישומי אוטו-טק(חנמ),,
רועי סלים,אורט אדיבי אשקלון,זכר,"תשפ""ג",2003-08-01,בית שמש,מחשבים,,
תומר דוד,ירושלים בית הערבה,זכר,"תשפ""ג",2003-12-23,מבשרת ציון,יישומי עיצוב שיער וטיפוח החן,,
עלי אברהם,אורט אדיבי אשקלון,זכר,,2001-12-07,גבעת זאב,אוטוטרוניקה,,
אביב סרסור,בית שאן,זכר,"תשפ""ה",2003-11-03,מעלה אדומים,,,
אביגיל חיים,צור ברק,נקבה,"תשע""ח",2007-04-20,אבן ספיר,מחשבים,,
נועם צדוק,עכו מרום,זכר,"תשפ""ב",2002-11-08,מבשרת ציון,מחשבים,,
אלעד תורגמן,אורט אדיבי אשקלון,זכר,"תשפ""ה",2003-09-25,צור הדסה,תקשוב,,
אחמד בן דוד,ירושלים בית הערבה,זכר,"תשפ""ג",2000-04-03,מעלה אדומים,מערכות תיכון וייצר באמצעות מחשב,,
נדב ביטון,עכו מרום,זכר,"תשפ""ה",2000-11-07,מבשרת ציון,מערכות סיב````ם תיב````ם,,
מוחמד ביטון,ירושלים בית הערבה,זכר,"תשפ""ה",2007-12-19,בית שמש,,,
נטע אבו ראס,אורט אדיבי אשקלון,נקבה,"תשע""ט",2006-03-09,גבע בנימין,תחזוקת מערכות מכניות,,
יהונתן שטרית,עכו מרום,זכר,"תשפ""ג",2004-07-10,אבן ספיר,אוטוטרוניקה,,
מאיה עמר,ירושלים בית הערבה,נקבה,"תש""ף",2001-12-06,בית שמש,מחשבים,2019-05-24,
עלי שפירא,עכו מרום,זכר,"תשפ""ה",2005-10-14,הר אדר,מלונאות,,2025-11-06
אדם עואד,בית שאן,זכר,"תשע""ח",2006-09-10,מעלה אדומים,התמחות יישומי אוטו-טק,,
מתן אשכנזי,אורט אדיבי אשקלון,זכר,"תשפ""א",2000-09-25,הר אדר,,,
נדב אוחיון,ירושלים בית הערבה,זכר,"תשפ""ב",2001-01-10,מבשרת ציון,אוטוטרוניקה,,
יונתן דהן,עכו מרום,זכר,"תשפ""א",2005-03-25,ירושלים,,,
ליאור וקנין,ירושלים בית הערבה,נקבה,"תשפ""ה",2007-01-07,בית שמש,מערכות סיב````ם תיב````ם,,
דניאל סעדה,ירושלים בית הערבה,,"תשפ""ג",2006-10-14,צור הדסה,,,
ליאור לביא,מוצקין,נקבה,"תשפ""א",2005-10-05,אפרת,אוטוטרוניקה,2024-10-04,
יובל קדוש,ירושלים בית הערבה,זכר,"תשפ""ה",2002-08-09,ירושלים,תחזוקת מערכות מכניות(חנמ),,
מאהר מזרחי,ירושלים בית הערבה,זכר,"תשפ""ב",2001-11-20,הר אדר,תחזוקת מערכות מכניות,,
אריאל קלימי,אורט אדיבי אשקלון,זכר,"תשפ""ד",2004-08-02,בית שמש,תחזוקת מערכות מכניות,,
ליאור ברששת,ירושלים בית הערבה,נקבה,"תשפ""ה",,גבע בנימין,מערכות תיכון וייצר באמצעות מחשב,,
אורי שרעבי,ירושלים בית הערבה,זכר,"תשפ""ד",2006-11-17,אפרת,תחזוקת מערכות מכניות,2019-09-26,
איתי אבו ראס,אורט אדיבי אשקלון,זכר,"תשפ""א",2002-07-23,קרית יערים,עיצוב,2025-07-04,
שירה נגר,אורט אדיבי אשקלון,נקבה,"תשפ""ד",2004-02-09,,בישול מלונאי,,
דנה אזולאי,ירושלים בית הערבה,נקבה,"תשפ""ד",2000-06-04,בית שמש,תקשוב,,
סאמר רוזן,אורט אדיבי אשקלון,זכר,"תש""ף",2005-09-21,צור הדסה,מערכות סיב````ם תיב````ם,,
נטע מלכה,אורט אדיבי אשקלון,נקבה,"תשע""ט",2000-09-25,קרית יערים,מחשבים,,
דנה ביטון,ירושלים בית הערבה,נקבה,"תשפ""ד",2004-04-23,צור הדסה,תחזוקת מערכות מכניות,,
מאיה לוי,ירושלים בית הערבה,נקבה,"תשע""ט",2005-06-25,מעלה אדומים,אוטוטרוניקה,,
כרים טויטו,אורט אדיבי אשקלון,זכר,"תשפ""ה",2005-01-15,ירושלים,תקשוב,,
יהונתן רוזן,עכו מרום,זכר,"תשפ""ה",2004-09-24,צור הדסה,מחשבים,,
חסן אזולאי,בית שאן,זכר,"תשפ""ד",2002-03-15,אבן ספיר,,,
אביב חטיב,מוצקין,זכר,"תשפ""ב",2004-10-02,מבשרת ציון,תקשוב,,
לינוי מלכה,צור ברק,נקבה,"תשפ""ה",2007-12-24,הר אדר,אוטוטרוניקה,,
יובל טהא,אורט אדיבי אשקלון,זכר,"תשע""ח",2006-11-24,אפרת,עיצוב,,
דניאל סויסה,ירושלים בית הערבה,זכר,"תשפ""ב",2005-09-17,מבשרת ציון,,,
רועי מוסקוביץ,עכו מרום,זכר,"תשפ""ג",2001-10-31,מודיעין,מערכות סיב````ם תיב````ם,,
נדב יפרח,צור ברק,זכר,"תשפ""ד",2001-03-23,גבע בנימין,עיצוב(חנמ),,
שי בן שימול,עכו מרום,זכר,"תשפ""א",2003-03-17,מבשרת ציון,עיצוב שיער,,
יהונתן טל,עכו מרום,זכר,"תשפ""ה",2005-06-18,קרית יערים,מחשבים,,
מרים סבג,ירושלים בית הערבה,נקבה,"תשפ""ג",2002-06-30,מודיעין,תחזוקת מערכות מכניות(חנמ),2019-03-04,
עלי סבג,בית שאן,זכר,"תשע""ט",2001-08-09,מבשרת ציון,תקשוב(חנמ),,
תומר לביא,עכו מרום,זכר,"תשפ""ד",2001-02-06,קרית יערים,תקשוב(חנמ),,
דניאל גבאי,בית שאן,זכר,"תשפ""ד",2002-10-16,מודיעין,תקשוב,,
אדם מנסור,אורט אדיבי אשקלון,זכר,"תשע""ח",2004-04-12,קרית יערים,יישומי עיצוב שיער וטיפוח החן,,
אסף סבג,אורט אדיבי אשקלון,זכר,"תשפ""ה",2007-06-04,גבעת זאב,מערכות סיב````ם תיב````ם,,
רן כהן,עכו מרום,זכר,"תשפ""ג",2003-01-01,קרית יערים,בישול מלונאי,,
הדס עואד,ירושלים בית הערבה,נקבה,"תשפ""ד",2002-12-03,מעלה אדומים,בישול מלונאי,2022-12-20,
עידו קלימי,בית שאן,זכר,"תשפ""ב",2004-04-27,מעלה אדומים,בישול מלונאי,,
שירה אבו ראס,עכו מרום,נקבה,"תשפ""ג",2006-01-22,צור הדסה,יישומי עיצוב שיער וטיפוח החן,,
נועם סויסה,עכו מרום,זכר,"תשפ""ב",2004-08-24,ירושלים,עיצוב(חנמ),,
אלה אברהם,עכו מרום,נקבה,"תשפ""ה",2000-02-06,קרית יערים,,,
תמר תורגמן,עכו מרום,נקבה,"תשפ""ג",2007-05-08,מודיעין,תקשוב,,
שירה פלד,אורט אדיבי אשקלון,נקבה,"תשפ""ג",2006-05-08,,,,
רן סבג,עכו מרום,זכר,"תשפ""ב",2005-03-23,בית שמש,מערכות הספק פיקוד ובקרה,,
מאיה נגר,עכו מרום,נקבה,"תשפ""א",2007-09-09,מבשרת ציון,עיצוב שיער,,
יובל יפרח,ירושלים בית הערבה,נקבה,"תשפ""ג",2005-02-27,,עיצוב,,
אביגיל אלמוג,ירושלים בית הערבה,נקבה,"תשפ""א",2004-09-21,הר אדר,מסגרות מבנים,,
סאמר אזולאי,בית שאן,זכר,"תשפ""ה",2000-05-31,מעלה אדומים,מלונאות,,
אביב מנסור,ירושלים בית הערבה,זכר,"תשפ""ג",2000-01-22,גבע בנימין,עיצוב שיער,,
נדב נחום,ירושלים בית הערבה,זכר,"תשפ""ב",2001-03-08,מבשרת ציון,אוטוטרוניקה,,
גיא ביטון,אורט אדיבי אשקלון,זכר,"תשפ""ד",2007-10-07,אפרת,התמחות יישומי אוטו-טק,,
איתי סויסה,ירושלים בית הערבה,זכר,"תשפ""ד",2003-08-18,גבע בנימין,אוטוטרוניקה,,
טל חטיב,אורט אדיבי אשקלון,נקבה,"תשפ""א",2000-10-10,מודיעין,יישומי עיצוב שיער וטיפוח החן,,
אור עבד אלחק,אורט אדיבי אשקלון,נקבה,"תשפ""א",2004-06-15,מבשרת ציון,תחזוקת מערכות מכניות(חנמ),,
אביב ברששת,ירושלים בית הערבה,זכר,"תשפ""ג",2001-01-04,מבשרת ציון,אוטוטרוניקה,,
דנה סרסור,ירושלים בית הערבה,נקבה,"תשפ""ג",2004-01-11,בית שמש,עיצוב,,
אחמד דהן,אורט אדיבי אשקלון,זכר,"תשפ""ב",2000-11-12,אבן ספיר,מחשבים,,
מוחמד שפירא,אורט אדיבי אשקלון,זכר,"תשפ""ב",2006-08-23,אפרת,מחשבים,2019-03-09,
אחמד עבד אלחק,ירושלים בית הערבה,זכר,"תשפ""ד",2003-05-27,אפרת,עיצוב שיער,,
כרים עוזרי,עכו מרום,זכר,"תשע""ח",2007-12-10,בית שמש,יישומי עיצוב שיער וטיפוח החן,,2024-10-21
אביב אזולאי,ירושלים בית הערבה,זכר,"תשפ""ה",2007-06-07,גבעת זאב,מחשבים,,
רן חדד,עכו מרום,זכר,"תשפ""ה",2006-05-03,מבשרת ציון,עיצוב שיער,,
מאהר דוד,עכו מרום,זכר,"תשע""ט",2007-05-16,בית שמש,תחזוקת מערכות מכניות(חנמ),,2025-12-25
רוני אגבאריה,ירושלים בית הערבה,נקבה,"תשפ""ה",,צור הדסה,מחשבים,,
אדם אוחיון,עכו מרום,זכר,"תשפ""א",2001-06-17,הר אדר,עיצוב,,
נתנאל ביטון,ירושלים בית הערבה,זכר,"תשפ""ד",2005-08-20,הר אדר,תחזוקת מערכות מכניות,,
אסף אלמוג,עכו מרום,זכר,"תשפ""ג",2002-03-31,בית שמש,עיצוב,,
יהונתן נגר,עכו מרום,זכר,"תשפ""ה",2002-10-07,בית שמש,עיצוב(חנמ),,
אלעד סלומון,ירושלים בית הערבה,זכר,"תשפ""ב",2005-09-21,גבעת זאב,תחזוקת מערכות מכניות,2023-12-08,
אדם נסראללה,ירושלים בית הערבה,זכר,"תשפ""ד",2006-05-11,מבשרת ציון,עיצוב(חנמ),,
אמל בן שימול,עכו מרום,נקבה,"תשפ""ג",2001-06-04,בית שמש,בישול מלונאי,2021-05-16,
אביב דוד,עכו מרום,זכר,"תשפ""ה",2000-11-18,אבן ספיר,תחזוקת מערכות מכניות,,
מאהר אברהם,ירושלים בית הערבה,זכר,"תשפ""ד",2001-03-09,צור הדסה,תחזוקת מערכות מכניות,,
עמית טל,אורט אדיבי אשקלון,זכר,"תשפ""ג",2005-07-07,מבשרת ציון,אוטוטרוניקה,,
דניאל צדוק,עכו מרום,זכר,"תשפ""ג",2002-03-27,אפרת,יישומי עיצוב שיער וטיפוח החן,,
נועה פרץ,עכו מרום,נקבה,"תשפ""ד",2002-04-24,קרית יערים,תחזוקת מערכות מכניות,2021-03-20,
חסן יפרח,ירושלים בית הערבה,זכר,"תשפ""ד",2006-11-02,בית שמש,עיצוב שיער,,
עומר חטיב,מוצקין,זכר,"תשפ""ג",2007-01-19,גבע בנימין,תקשוב,2025-05-12,
הראל מנסור,עכו מרום,זכר,"תשע""ח",2002-10-25,מבשרת ציון,מערכות סיב````ם תיב````ם,,
רותם עבד אלחק,מוצקין,נקבה,"תש""ף",2006-12-16,קרית יערים,יישומי עיצוב שיער וטיפוח החן,,
אלעד זכריה,אורט אדיבי אשקלון,זכר,"תשפ""ג",2000-06-23,גבעת זאב,תקשוב,,
הדס לביא,עכו מרום,נקבה,"תשפ""ה",2006-07-10,קרית יערים,התמחות יישומי אוטו-טק,,
סאמר מזרחי,אורט אדיבי אשקלון,זכר,"תשפ""ב",2006-04-03,מבשרת ציון,התמחות יישומי אוטו-טק,,
רן ברששת,אורט אדיבי אשקלון,זכר,"תשפ""ד",2005-09-26,קרית יערים,מחשבים,,
אסף עמר,ירושלים בית הערבה,זכר,"תשפ""ה",2002-09-22,מבשרת ציון,עיצוב שיער,,
רן עואד,עכו מרום,זכר,"תשפ""ג",2001-03-21,צור הדסה,מחשבים,,
לינוי כרמלי,אורט אדיבי אשקלון,נקבה,"תשפ""ה",2002-01-07,מודיעין,,,
אביב טויטו,צור ברק,זכר,"תש""ף",2005-10-18,צור הדסה,תחזוקת מערכות מכניות,2025-08-01,
מוחמד אזולאי,עכו מרום,זכר,"תש""ף",2007-01-06,בית שמש,,,
עומר גבאי,ירושלים בית הערבה,זכר,"תשפ""ה",2007-09-14,מעלה אדומים,תקשוב,,
רועי רחמים,עכו מרום,זכר,"תשפ""א",2004-12-16,גבעת זאב,,,
אמל סעדה,עכו מרום,נקבה,"תשפ""ב",2002-01-19,גבע בנימין,מחשבים,,
עלי טויטו,עכו מרום,זכר,"תשפ""ג",2004-12-14,הר אדר,בישול מלונאי,,
סלמא שפירא,עכו מרום,נקבה,"תשפ""ה",2001-12-14,,עיצוב שיער,,
נדב בן דוד,עכו מרום,זכר,"תשפ""ב",2001-10-05,אפרת,תחזוקת מערכות מכניות,,
גיא קדוש,ירושלים בית הערבה,זכר,"תשע""ח",2007-10-21,הר אדר,,2019-11-01,
איתי אגבאריה,ירושלים בית הערבה,זכר,"תשפ""ג",2003-12-24,גבע בנימין,אוטוטרוניקה,,
אסף רוזן,אורט אדיבי אשקלון,זכר,"תשפ""ג",2000-02-29,מבשרת ציון,מחשבים,,
ספיר אזולאי,עכו מרום,נקבה,"תשפ""ה",2000-12-16,אפרת,תקשוב,,
עדי ביטון,צור ברק,נקבה,"תשפ""ה",2003-02-03,ירושלים,תקשוב,,
נור זועבי,עכו מרום,,"תשע""ח",2006-10-23,מודיעין,יישומי עיצוב שיער וטיפוח החן,,
יעל אגבאריה,עכו מרום,נקבה,"תשפ""ג",2004-08-10,גבע בנימין,מחשבים,,
מיכל עואד,בית שאן,נקבה,"תשפ""ג",2000-08-06,מעלה אדומים,,,
יהונתן ביטון,ירושלים בית הערבה,זכר,"תשפ""ד",2001-09-10,גבע בנימין,,,
נדב טהא,עכו מרום,זכר,"תשפ""ה",2000-12-09,צור הדסה,אוטוטרוניקה,,
יוסף פרידמן,מוצקין,זכר,"תשפ""ב",2007-01-23,גבע בנימין,עיצוב(חנמ),2019-01-15,
יובל רחמים,ירושלים בית הערבה,נקבה,"תשע""ט",2001-07-22,ירושלים,,,
דנה וקנין,עכו מרום,נקבה,"תשפ""ב",2001-12-23,הר אדר,מחשבים,,
שירה בן דוד,מוצקין,,"תשפ""ה",2004-01-14,מודיעין,אוטוטרוניקה,,
רותם לוי,ירושלים בית הערבה,נקבה,"תשפ""ב",2004-11-18,מבשרת ציון,תקשוב(חנמ),,
הדס מנסור,אורט אדיבי אשקלון,נקבה,"תשפ""ג",2001-03-05,ירושלים,התמחות יישומי אוטו-טק,,
גיא קלימי,מוצקין,זכר,"תשפ""ג",2000-08-25,צור הדסה,תחזוקת מערכות מכניות,,
טל אזולאי,מוצקין,נקבה,"תשפ""ה",2005-06-22,אפרת,יישומי עיצוב שיער וטיפוח החן,,
אלון ברששת,עכו מרום,זכר,"תשפ""א",2007-06-04,ירושלים,עיצוב שיער,,
